file,emotion,dominant_emotion,region,age,gender,dominant_gender,race,dominant_race
0 (4).jpg,"{'angry': 0.00034933229543428993, 'disgust': 7.311761313182778e-05, 'fear': 0.37876076389232444, 'happy': 97.4409457970793, 'sad': 0.008082491203266078, 'surprise': 0.16337236940084332, 'neutral': 2.0084180469415243}",happy,"{'x': 114, 'y': 358, 'w': 729, 'h': 729}",59,"{'Woman': 0.053486006800085306, 'Man': 99.94651675224304}",Man,"{'asian': 5.507689714431763, 'indian': 14.269842207431793, 'black': 0.7701363880187273, 'white': 46.20298743247986, 'middle eastern': 21.802918612957, 'latino hispanic': 11.446426063776016}",white
0 (22).jpg,"{'angry': 3.032152437118518e-11, 'disgust': 2.3018797967993415e-14, 'fear': 0.47004157677292824, 'happy': 1.18145202065989e-05, 'sad': 0.0001749262196426571, 'surprise': 1.4270301607055558e-07, 'neutral': 99.52977299690247}",neutral,"{'x': 0, 'y': 0, 'w': 700, 'h': 700}",57,"{'Woman': 9.727851301431656, 'Man': 90.27214646339417}",Man,"{'asian': 95.6255500762999, 'indian': 1.6279458921616206, 'black': 0.5948787311609112, 'white': 0.7043874914184223, 'middle eastern': 0.06703416367026703, 'latino hispanic': 1.380205269282428}",asian
0 (29).jpg,"{'angry': 0.13138067442923784, 'disgust': 1.7206859976263186e-27, 'fear': 0.0026342398996348493, 'happy': 99.86598491668701, 'sad': 1.3708383039823246e-08, 'surprise': 1.8744200858122895e-06, 'neutral': 6.948554925889638e-09}",happy,"{'x': 128, 'y': 209, 'w': 674, 'h': 674}",35,"{'Woman': 54.02453541755676, 'Man': 45.975467562675476}",Woman,"{'asian': 64.73384885393672, 'indian': 1.845706364256523, 'black': 0.23377965200869155, 'white': 12.002224445475605, 'middle eastern': 4.641337969382881, 'latino hispanic': 16.54310325045009}",asian
0 (21).jpeg,"{'angry': 0.5418900866061449, 'disgust': 2.5599581048724174e-10, 'fear': 0.3822802100330591, 'happy': 2.4551871646849577e-06, 'sad': 28.74380052089691, 'surprise': 0.00031770393889019033, 'neutral': 70.33171057701111}",neutral,"{'x': 506, 'y': 840, 'w': 2122, 'h': 2122}",33,"{'Woman': 99.128657579422, 'Man': 0.8713381364941597}",Woman,"{'asian': 79.3190767004307, 'indian': 5.852253829895537, 'black': 0.8206337596455193, 'white': 0.29331648248339115, 'middle eastern': 0.04246658506202905, 'latino hispanic': 13.672242779197031}",asian
1 (22).jpg,"{'angry': 0.00020498912363109412, 'disgust': 1.1368500135418638e-12, 'fear': 0.06266739219427109, 'happy': 0.00023815716758690542, 'sad': 0.06758967065252364, 'surprise': 0.0005172742476133863, 'neutral': 99.86878037452698}",neutral,"{'x': 115, 'y': 117, 'w': 381, 'h': 381}",24,"{'Woman': 0.0013518871128326282, 'Man': 99.99865293502808}",Man,"{'asian': 0.009465744206269857, 'indian': 0.026926513387166763, 'black': 0.0005918059185065364, 'white': 89.00915914828533, 'middle eastern': 3.8049051943364853, 'latino hispanic': 7.14894948297438}",white
0 (25).jpeg,"{'angry': 0.23915657336453042, 'disgust': 4.89902874602444e-05, 'fear': 0.06728499248273626, 'happy': 0.023636659851992717, 'sad': 1.716732149823436, 'surprise': 0.020431980136918583, 'neutral': 97.93270814017701}",neutral,"{'x': 0, 'y': 0, 'w': 767, 'h': 1024}",35,"{'Woman': 11.02583184838295, 'Man': 88.97416591644287}",Man,"{'asian': 16.120406985282898, 'indian': 0.36804990377277136, 'black': 0.06752010667696595, 'white': 75.08662343025208, 'middle eastern': 5.153867602348328, 'latino hispanic': 3.203534334897995}",white
0 (30).jpg,"{'angry': 0.009015663627770237, 'disgust': 2.297312650763088e-10, 'fear': 0.03718360607023424, 'happy': 7.742263292320301e-07, 'sad': 6.363395980798958, 'surprise': 8.08397763175122e-05, 'neutral': 93.59032473506478}",neutral,"{'x': 63, 'y': 194, 'w': 615, 'h': 615}",29,"{'Woman': 100.0, 'Man': 3.1987784865350477e-06}",Woman,"{'asian': 96.00819897749412, 'indian': 2.3985887943016047, 'black': 0.03448307517807337, 'white': 0.20068532385651158, 'middle eastern': 0.036875686813227754, 'latino hispanic': 1.3211744549780435}",asian
1 (5).png,"{'angry': 32.492271065711975, 'disgust': 0.00010642896768331411, 'fear': 1.6069304198026657, 'happy': 0.0005140763278177474, 'sad': 36.80863082408905, 'surprise': 2.6109935902240977e-05, 'neutral': 29.091522097587585}",sad,"{'x': 68, 'y': 95, 'w': 264, 'h': 264}",26,"{'Woman': 0.021123079932294786, 'Man': 99.97888207435608}",Man,"{'asian': 0.0540256474238275, 'indian': 0.0379864061774034, 'black': 0.002518089208957003, 'white': 85.03919750685677, 'middle eastern': 3.405090996926486, 'latino hispanic': 11.46118038661363}",white
0 (25).png,"{'angry': 20.14686585348045, 'disgust': 2.1960023998090839e-07, 'fear': 0.22019910541618498, 'happy': 2.5521762327656883, 'sad': 71.96338605662501, 'surprise': 5.653290084404961e-06, 'neutral': 5.117366395435714}",sad,"{'x': 66, 'y': 72, 'w': 392, 'h': 392}",29,"{'Woman': 15.735621750354767, 'Man': 84.26437377929688}",Man,"{'asian': 85.32284919295897, 'indian': 1.0526725414601017, 'black': 0.23691535957638735, 'white': 3.2014366330428876, 'middle eastern': 1.389240080325613, 'latino hispanic': 8.796884423122933}",asian
0 (22).png,"{'angry': 1.5358508548647676, 'disgust': 0.011281439164431865, 'fear': 1.3688517618985034, 'happy': 5.500658929387267, 'sad': 2.303643475690095, 'surprise': 0.00041923983869792395, 'neutral': 89.27929337497314}",neutral,"{'x': 421, 'y': 296, 'w': 452, 'h': 452}",31,"{'Woman': 99.99591112136841, 'Man': 0.004085859836777672}",Woman,"{'asian': 0.10251083876937628, 'indian': 0.06644428940489888, 'black': 0.0012108022019674536, 'white': 84.30628180503845, 'middle eastern': 6.3644640147686005, 'latino hispanic': 9.159091860055923}",white
